PostalCode,Neighborhood,Jabalpur
482004 ,Adhartal,Jabalpur 
482001 ,Agasaud,Jabalpur 
482003 ,Amahinota,Jabalpur 
482004 ,Amkhera,Jabalpur 
482004 ,Anand Nagar,Jabalpur 
482004 ,Anandnagar,Jabalpur 
482001 ,Archha,Jabalpur 
483113 ,Badhaiyakheda,Jabalpur 
483220 ,Badkheda,Jabalpur 
483110 ,Badkhera,Jabalpur 
482001 ,Baghraji,Jabalpur 
482001 ,Bai Ka bagicha,Jabalpur 
483440 ,Bandhi,Jabalpur 
482021 ,Barbati,Jabalpur 
483001 ,Barela,Jabalpur 
483225 ,Bargi,Jabalpur 
483050 ,Bargi  ipc,Jabalpur 
482056 ,Bargi Nagar,Jabalpur 
483220 ,Baroda,Jabalpur 
482003 ,Baroda Chhedi,Jabalpur 
483119 ,Basendi,Jabalpur 
482001 ,Belkhadu,Jabalpur 
483119 ,Belkheda,Jabalpur 
483119 ,Bhaironghat Pipariya,Jabalpur 
483119 ,Bheeta,Jabalpur 
483053 ,Bheraghat,Jabalpur 
483119 ,Bhuwara,Jabalpur 
482020 ,Bilhari,Jabalpur 
483105 ,Boria,Jabalpur 
482003 ,Chargawan,Jabalpur 
483110 ,Chaurai Kala,Jabalpur 
483119 ,Chhaparhat,Jabalpur 
483220 ,Chhartarpur,Jabalpur 
482001 ,Civil Lines,Jabalpur 
483110 ,Dadargawan,Jabalpur 
482001 ,Dehri Khurd,Jabalpur 
483001 ,Deori Patpara,Jabalpur 
483001 ,Dhanpuri,Jabalpur 
482001 ,Dhanwahi,Jabalpur 
482003 ,Dharampura,Jabalpur 
482001 ,Dixitpura,Jabalpur 
482011 ,Engineering College,Jabalpur 
483113 ,Gadaghat,Jabalpur 
483119 ,Gadar Pipariya,Jabalpur 
482003 ,Gangai Badkheda,Jabalpur 
482003 ,Gangai Bijori,Jabalpur 
482001 ,Gangai Padaria,Jabalpur 
482002 ,Ganjipura,Jabalpur 
482003 ,Garha,Jabalpur 
482003 ,Garha Bazar,Jabalpur 
482002 ,Garha Phatak,Jabalpur 
482021 ,Gauraiyaghat,Jabalpur 
483110 ,Gauri,Jabalpur 
482003 ,Ghat Piparia,Jabalpur 
483110 ,Ghughara,Jabalpur 
482002 ,Gohalpur,Jabalpur 
482011 ,Gokulpur,Jabalpur 
483119 ,Gubra Kala,Jabalpur 
482001 ,Gun Shop,Jabalpur 
482001 ,Gupteshwar,Jabalpur 
482002 ,Gurandi Bazar,Jabalpur 
482008 ,Gwarighat,Jabalpur 
482001 ,H.R.lines,Jabalpur 
482002 ,Hanumantal,Jabalpur 
483110 ,Harduli,Jabalpur 
482051 ,Harrai,Jabalpur 
482001 ,Hathital,Jabalpur 
482007 ,High Court,Jabalpur 
483001 ,Hinotia Bhoi,Jabalpur 
482001 ,Howbagh,Jabalpur 
482002 ,I.T.i.,Jabalpur 
483220 ,Imlai,Jabalpur 
482001 ,Jabalpur,Jabalpur 
482001 ,Jabalpur Cantt,Jabalpur 
482001 ,Jabalpur City,Jabalpur 
482011 ,Jabalpur Factory,Jabalpur 
482001 ,Jeewan Bima nigam,Jabalpur 
483110 ,Jhiria,Jabalpur 
483110 ,Jhirmila,Jabalpur 
482002 ,Jonesganj,Jabalpur 
482021 ,Kailwas,Jabalpur 
482051 ,Kaladehi,Jabalpur 
483220 ,Kaladumar,Jabalpur 
482002 ,Kamala Nehru nagar,Jabalpur 
482004 ,Kanchanpur,Jabalpur 
482001 ,Karmeta,Jabalpur 
483110 ,Kastara,Jabalpur 
482001 ,Kasturba Nagar,Jabalpur 
483105 ,Katangi,Jabalpur 
483113 ,Katra Belkheda,Jabalpur 
483113 ,Khairi,Jabalpur 
482004 ,Khajri,Jabalpur 
482005 ,Khamaria,Jabalpur 
482005 ,Khamaria Market,Jabalpur 
482021 ,Khamaria Neemkheda,Jabalpur 
483222 ,Khinni,Jabalpur 
483220 ,Khirahani,Jabalpur 
483001 ,Khukkham,Jabalpur 
483113 ,Konikala,Jabalpur 
483110 ,Kosam Dongari,Jabalpur 
483110 ,Kundam,Jabalpur 
482001 ,Kutchery,Jabalpur 
483113 ,Kymori,Jabalpur 
482001 ,Lac Lines,Jabalpur 
482003 ,Lamheta Ghat,Jabalpur 
482002 ,Lordganj,Jabalpur 
482001 ,Luhkari,Jabalpur 
483119 ,Magarmuha,Jabalpur 
482004 ,Maharajpur,Jabalpur 
